"_v [cm]","Freq [GHz]","_u []","im(NearEX) [V_per_meter]"
-73.5,2.4,0.7275,1.03713163195366
-73.5,2.4,0.735,1.09045062845398
-73.5,2.4,0.7425,1.06784072488367
-73.5,2.4,0.75,0.972080782876546
-72.75,2.4,-0.75,0.631921018326292
-72.75,2.4,-0.7425,0.858532795821632
-72.75,2.4,-0.735,1.02779103873929
-72.75,2.4,-0.7275,1.12642030363695
-72.75,2.4,-0.72,1.14616559864388
-72.75,2.4,-0.7125,1.08436859145222
-72.75,2.4,-0.705,0.944133093852426
-72.75,2.4,-0.6975,0.734077179058252
-72.75,2.4,-0.69,0.467699501769381
-72.75,2.4,-0.6825,0.162414371207875
-72.75,2.4,-0.675,-0.161667986569584
-72.75,2.4,-0.6675,-0.483124122530731
-72.75,2.4,-0.66,-0.780663019966973
-72.75,2.4,-0.6525,-1.03458466783698
-72.75,2.4,-0.645,-1.22775764883919
-72.75,2.4,-0.6375,-1.34727698591578
-72.75,2.4,-0.63,-1.38476110972519
-72.75,2.4,-0.6225,-1.33696124080292
-72.75,2.4,-0.615,-1.20589063788022
-72.75,2.4,-0.6075,-0.998620075069174
-72.75,2.4,-0.6,-0.726765229273755
-72.75,2.4,-0.5925,-0.405710336440894
-72.75,2.4,-0.585,-0.0536271450183244
-72.75,2.4,-0.5775,0.309641866849804
-72.75,2.4,-0.57,0.663762180981658
-72.75,2.4,-0.5625,0.989074188376902
-72.75,2.4,-0.555,1.26767482450854
